epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,8257.4,1.07641,0.94129,1.34473,0.64394,0.48066,0.51838,0.33824,1.106,7.24853,1.36005,0.000235404,0.000235404,0.000235404
43,8453.36,1.0689,0.93112,1.33535,0.7267,0.48714,0.51627,0.33709,1.10335,7.71793,1.36361,0.000214046,0.000214046,0.000214046
44,8649.32,1.05479,0.91788,1.33296,0.75472,0.47619,0.52349,0.34171,1.10566,7.50925,1.36751,0.000193486,0.000193486,0.000193486
45,8845.38,1.04585,0.89897,1.31893,0.75257,0.47696,0.52343,0.34059,1.10878,7.51372,1.36793,0.00017378,0.00017378,0.00017378
46,9040.95,1.04461,0.89513,1.33112,0.66039,0.48093,0.52712,0.34429,1.10464,7.72719,1.3663,0.000154982,0.000154982,0.000154982
47,9236.74,1.03969,0.89232,1.32759,0.66156,0.48009,0.52396,0.3416,1.09906,7.60529,1.37048,0.000137143,0.000137143,0.000137143
48,9432.78,1.03067,0.87367,1.3139,0.65876,0.48703,0.52454,0.34253,1.09643,7.97362,1.36502,0.000120313,0.000120313,0.000120313
49,9628.37,1.02936,0.85868,1.30654,0.66748,0.48797,0.52852,0.34484,1.09727,7.8786,1.36617,0.000104537,0.000104537,0.000104537
50,9824.32,1.02318,0.87073,1.31624,0.64986,0.50097,0.52681,0.34642,1.09397,8.21738,1.36327,8.98581e-05,8.98581e-05,8.98581e-05
51,10019.6,0.88635,0.58103,1.22578,0.75715,0.49055,0.51979,0.3397,1.09869,7.8027,1.36563,7.63174e-05,7.63174e-05,7.63174e-05
52,10213.7,0.87693,0.56252,1.22084,0.64646,0.49938,0.52274,0.34054,1.09562,7.94812,1.36206,6.39518e-05,6.39518e-05,6.39518e-05
53,10407.6,0.86599,0.54469,1.21527,0.64901,0.49195,0.52196,0.3418,1.09452,7.99012,1.36405,5.2795e-05,5.2795e-05,5.2795e-05
54,10601.1,0.85577,0.53966,1.21483,0.65451,0.49223,0.52158,0.34236,1.09386,7.85298,1.36339,4.28777e-05,4.28777e-05,4.28777e-05
55,10796.8,0.86515,0.5406,1.21467,0.65579,0.49699,0.52485,0.34453,1.09138,8.07478,1.36452,3.4227e-05,3.4227e-05,3.4227e-05
56,10990.5,0.84752,0.52715,1.20374,0.6603,0.49762,0.52559,0.3456,1.08867,8.07858,1.36598,2.68667e-05,2.68667e-05,2.68667e-05
57,11184.3,0.85602,0.53217,1.20507,0.6637,0.4992,0.52857,0.34789,1.08818,8.12217,1.36657,2.08169e-05,2.08169e-05,2.08169e-05
58,11378.3,0.85328,0.53438,1.19996,0.66339,0.50202,0.52895,0.34709,1.08567,8.04847,1.3653,1.60943e-05,1.60943e-05,1.60943e-05
59,11572.2,0.84244,0.51411,1.19038,0.67191,0.49905,0.52902,0.3464,1.08383,8.13833,1.36469,1.27117e-05,1.27117e-05,1.27117e-05
60,11765.9,0.84836,0.52137,1.20474,0.67669,0.49422,0.52845,0.34657,1.08404,8.26166,1.36447,1.06784e-05,1.06784e-05,1.06784e-05
