epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,12235.8,1.15395,1.0676,1.28383,0.61954,0.43413,0.47687,0.30113,1.14922,15.6628,1.31914,0.00643101,0.00643101,0.00643101
43,12473.1,1.15214,1.07188,1.28268,0.62129,0.44898,0.48716,0.30608,1.15585,14.9305,1.32548,0.00628101,0.00628101,0.00628101
44,12710.3,1.13031,1.0484,1.27236,0.60324,0.472,0.49927,0.31469,1.15879,15.4712,1.32402,0.00612981,0.00612981,0.00612981
45,12948.8,1.12957,1.03888,1.26937,0.58428,0.46453,0.48089,0.30613,1.15198,16.2962,1.32193,0.00597754,0.00597754,0.00597754
46,13186.6,1.13049,1.02991,1.26725,0.6063,0.46845,0.4865,0.31095,1.14306,16.6979,1.31151,0.00582435,0.00582435,0.00582435
47,13438.5,1.11961,1.01988,1.25928,0.63689,0.4475,0.49841,0.31783,1.14541,17.5671,1.31509,0.0056704,0.0056704,0.0056704
48,13675.6,1.11565,1.01322,1.2585,0.60985,0.46489,0.49036,0.31381,1.13881,16.487,1.3106,0.00551584,0.00551584,0.00551584
49,13913.5,1.10738,1.01287,1.25679,0.65076,0.44792,0.49532,0.31677,1.14042,16.1459,1.30863,0.00536081,0.00536081,0.00536081
50,14316.4,1.10693,0.99993,1.2537,0.63136,0.45648,0.49651,0.31558,1.14027,16.8202,1.30757,0.00520548,0.00520548,0.00520548
51,14636.8,1.10118,0.9877,1.24892,0.64595,0.45021,0.50556,0.32169,1.14233,16.3736,1.31049,0.00505,0.00505,0.00505
52,14878.3,1.09471,0.97987,1.24534,0.63354,0.46872,0.50198,0.32096,1.1368,17.1302,1.30665,0.00489452,0.00489452,0.00489452
53,15121,1.10224,0.97948,1.24539,0.62794,0.45517,0.49252,0.31608,1.1328,17.2317,1.30421,0.00473919,0.00473919,0.00473919
54,15627,1.07902,0.96117,1.2368,0.6477,0.46068,0.50519,0.32427,1.14124,16.8584,1.30929,0.00458416,0.00458416,0.00458416
55,15869.7,1.0842,0.95827,1.23871,0.64482,0.45538,0.50699,0.32599,1.13153,16.9528,1.29979,0.0044296,0.0044296,0.0044296
56,16377.4,1.08158,0.95339,1.23141,0.63464,0.47046,0.50877,0.32565,1.12888,16.5791,1.29796,0.00427565,0.00427565,0.00427565
57,16615,1.06597,0.93798,1.22824,0.6236,0.48051,0.50847,0.3278,1.12554,16.4806,1.29627,0.00412246,0.00412246,0.00412246
58,16854.9,1.06935,0.93135,1.22811,0.64025,0.46544,0.51213,0.32977,1.12714,17.0295,1.29539,0.00397019,0.00397019,0.00397019
59,17256.7,1.06022,0.91842,1.22132,0.65106,0.4613,0.51303,0.33063,1.12446,16.7154,1.29648,0.00381899,0.00381899,0.00381899
60,17494.2,1.05796,0.91258,1.22088,0.63071,0.47478,0.50993,0.32913,1.12361,16.8372,1.29345,0.00366899,0.00366899,0.00366899
61,17731.8,1.04471,0.89938,1.21502,0.63116,0.47309,0.50706,0.32696,1.12364,17.1405,1.29347,0.00352037,0.00352037,0.00352037
62,18121.9,1.04657,0.89808,1.21091,0.65236,0.45795,0.50587,0.32666,1.12196,17.0994,1.29458,0.00337325,0.00337325,0.00337325
63,18358.3,1.04275,0.89264,1.21312,0.64565,0.46139,0.50592,0.3275,1.12064,17.4549,1.29531,0.00322778,0.00322778,0.00322778
64,18596.8,1.03951,0.8839,1.209,0.64517,0.46879,0.50775,0.32662,1.11829,17.9984,1.2924,0.00308412,0.00308412,0.00308412
65,18894.1,1.03308,0.8723,1.20729,0.60585,0.4895,0.50922,0.3288,1.11988,17.535,1.29301,0.00294239,0.00294239,0.00294239
66,19135.9,1.03241,0.86712,1.20871,0.6552,0.46122,0.50957,0.32995,1.1218,17.6407,1.29471,0.00280275,0.00280275,0.00280275
67,19378.8,1.03474,0.86781,1.20759,0.65776,0.46382,0.51081,0.32879,1.1159,17.6106,1.29098,0.00266532,0.00266532,0.00266532
68,239.763,1.01331,0.8508,1.19668,0.65382,0.47061,0.51261,0.33065,1.11813,17.32,1.29327,0.00253024,0.00253024,0.00253024
69,477.333,1.01239,0.83864,1.19512,0.66036,0.46485,0.51205,0.33135,1.119,17.3593,1.29408,0.00239766,0.00239766,0.00239766
70,1208.12,1.00917,0.83503,1.19607,0.65865,0.46513,0.51445,0.3327,1.11649,17.2381,1.29157,0.00226769,0.00226769,0.00226769
71,1721.47,1.00869,0.82468,1.18885,0.658,0.46858,0.51605,0.33368,1.11925,17.0099,1.29256,0.00214046,0.00214046,0.00214046
72,1962.11,0.99835,0.82913,1.18947,0.67306,0.45692,0.51323,0.33245,1.11794,17.1617,1.2918,0.00201611,0.00201611,0.00201611
73,2201.56,0.99392,0.82409,1.18387,0.67419,0.45162,0.5128,0.33141,1.11503,17.3344,1.28998,0.00189475,0.00189475,0.00189475
74,2441.02,0.99354,0.81554,1.18235,0.63485,0.48172,0.51413,0.33134,1.11505,17.5424,1.29105,0.00177651,0.00177651,0.00177651
